unit,tagname,desc,calculation
PLTU Paiton 9,90HFC40CT30X-SEL.DROP8/58.UNIT1@NET0,Mill Outlet Temperature D,None
PLTU Paiton 9,90HFC50CT30X-SEL.DROP8/58.UNIT1@NET0,Mill Outlet Temperature E,None
PLTU Paiton 9,90HFC60CT30X-SEL.DROP8/58.UNIT1@NET0,Mill Outlet Temperature F,None
PLTU Paiton 9,Efficiency,Efficiency,None
PLTU Paiton 9,90HFE10CT601.DROP10/60.UNIT1@NET0,Mill A Inlet Temperature,None
PLTU Paiton 9,90HFE20CT601.DROP10/60.UNIT1@NET0,Mill B Inlet Temperature,None
PLTU Paiton 9,90HFE30CT601.DROP10/60.UNIT1@NET0,Mill C Inlet Temperature,None
PLTU Paiton 9,90HFE40CT601.DROP10/60.UNIT1@NET0,Mill D Inlet Temperature,None
PLTU Paiton 9,90HFE50CT601.DROP10/60.UNIT1@NET0,Mill E Inlet Temperature,None
PLTU Paiton 9,90HFE60CT601.DROP10/60.UNIT1@NET0,Mill F Inlet Temperature,None
