COAL_MOISTURE,MILL_OUTLET_TEMP,AF_RATIO,MILL_INLET_TEMP
3,48.888888888888886,1.9,97.39215092254292
4,48.888888888888886,1.9,96.66164436410541
5,48.888888888888886,1.9,103.96670994848046
6,48.888888888888886,1.9,111.27177553285547
7,48.888888888888886,1.9,122.9598804678555
8,48.888888888888886,1.9,127.34291981848052
9,48.888888888888886,1.9,133.91747884441804
10,48.888888888888886,1.9,137.57001163660556
11,48.888888888888886,1.9,141.22254442879304
12,48.888888888888886,1.9,146.33609033785558
13,48.888888888888886,1.9,149.9886231300431
14,48.888888888888886,1.9,153.6411559222306
15,48.888888888888886,1.9,155.83267559754307
16,48.888888888888886,1.9,159.48520838973062
17,48.888888888888886,1.9,163.13774118191813
18,48.888888888888886,1.9,166.05976741566815
19,48.888888888888886,1.9,169.71230020785566
20,48.888888888888886,1.9,173.36483300004318
21,48.888888888888886,1.9,175.55635267535567
22,48.888888888888886,1.9,178.4783789091057
23,48.888888888888886,1.9,182.1309117012932
24,48.888888888888886,1.9,184.32243137660572
25,48.888888888888886,1.9,186.5139510519182
26,48.888888888888886,1.9,189.43597728566823
27,48.888888888888886,1.9,191.6274969609807
28,48.888888888888886,1.9,195.28002975316824
29,48.888888888888886,1.9,196.74104287004323
30,48.888888888888886,1.9,198.93256254535575
31,48.888888888888886,1.9,201.85458877910574
32,48.888888888888886,1.9,204.04610845441826
33,48.888888888888886,1.9,206.96813468816828
34,48.888888888888886,1.9,209.15965436348077
35,48.888888888888886,1.9,211.3511740387933
36,48.888888888888886,1.9,212.81218715566828
37,48.888888888888886,1.9,215.0037068309808
38,48.888888888888886,1.9,217.9257330647308
39,48.888888888888886,1.9,220.1172527400433
40,48.888888888888886,1.9,223.7697855322308
3,49.44444444444444,1.9,98.12265748098042
4,49.44444444444444,1.9,97.39215092254292
5,49.44444444444444,1.9,106.15822962379295
6,49.44444444444444,1.9,112.00228209129298
7,49.44444444444444,1.9,123.69038702629298
8,49.44444444444444,1.9,128.8039329353555
9,49.44444444444444,1.9,134.64798540285554
10,49.44444444444444,1.9,138.30051819504308
11,49.44444444444444,1.9,143.41406410410556
12,49.44444444444444,1.9,147.06659689629308
13,49.44444444444444,1.9,150.7191296884806
14,49.44444444444444,1.9,155.83267559754307
15,49.44444444444444,1.9,159.48520838973062
16,49.44444444444444,1.9,163.13774118191813
17,49.44444444444444,1.9,166.05976741566815
18,49.44444444444444,1.9,169.71230020785566
19,49.44444444444444,1.9,171.90381988316813
20,49.44444444444444,1.9,175.55635267535567
21,49.44444444444444,1.9,178.4783789091057
22,49.44444444444444,1.9,180.66989858441818
23,49.44444444444444,1.9,184.32243137660572
24,49.44444444444444,1.9,186.5139510519182
25,49.44444444444444,1.9,189.43597728566823
26,49.44444444444444,1.9,192.35800351941825
27,49.44444444444444,1.9,195.28002975316824
28,49.44444444444444,1.9,197.47154942848076
29,49.44444444444444,1.9,199.66306910379322
30,49.44444444444444,1.9,202.58509533754327
31,49.44444444444444,1.9,204.77661501285576
32,49.44444444444444,1.9,207.69864124660575
33,49.44444444444444,1.9,209.89016092191827
34,49.44444444444444,1.9,212.0816805972308
35,49.44444444444444,1.9,213.5426937141058
36,49.44444444444444,1.9,216.4647199478558
37,49.44444444444444,1.9,218.6562396231683
38,49.44444444444444,1.9,220.8477592984808
39,49.44444444444444,1.9,223.7697855322308
40,49.44444444444444,1.9,227.42231832441834
3,50.0,1.9,98.85316403941792
4,50.0,1.9,98.85316403941792
5,50.0,1.9,107.61924274066796
6,50.0,1.9,114.92430832504299
7,50.0,1.9,124.42089358473052
8,50.0,1.9,130.99545261066802
9,50.0,1.9,136.83950507816803
10,50.0,1.9,140.49203787035557
11,50.0,1.9,145.60558377941808
12,50.0,1.9,149.25811657160563
13,50.0,1.9,152.9106493637931
14,50.0,1.9,158.02419527285562
15,50.0,1.9,161.67672806504314
16,50.0,1.9,165.32926085723068
17,50.0,1.9,167.52078053254314
18,50.0,1.9,171.90381988316813
19,50.0,1.9,175.55635267535567
20,50.0,1.9,177.7478723506682
21,50.0,1.9,179.9393920259807
22,50.0,1.9,184.32243137660572
23,50.0,1.9,186.5139510519182
24,50.0,1.9,190.16648384410573
25,50.0,1.9,192.35800351941825
26,50.0,1.9,195.28002975316824
27,50.0,1.9,197.47154942848076
28,50.0,1.9,200.39357566223077
29,50.0,1.9,202.58509533754327
30,50.0,1.9,204.77661501285576
31,50.0,1.9,207.69864124660575
32,50.0,1.9,209.89016092191827
33,50.0,1.9,212.81218715566828
34,50.0,1.9,214.2732002725433
35,50.0,1.9,217.19522650629335
36,50.0,1.9,220.1172527400433
37,50.0,1.9,222.30877241535583
38,50.0,1.9,224.50029209066832
39,50.0,1.9,225.96130520754335
40,50.0,1.9,229.61383799973086
3,50.55555555555556,1.9,100.31417715629294
4,50.55555555555556,1.9,100.31417715629294
5,50.55555555555556,1.9,108.34974929910545
6,50.55555555555556,1.9,115.65481488348047
7,50.55555555555556,1.9,126.61241326004301
8,50.55555555555556,1.9,131.72595916910552
9,50.55555555555556,1.9,138.30051819504308
10,50.55555555555556,1.9,142.68355754566807
11,50.55555555555556,1.9,146.33609033785558
12,50.55555555555556,1.9,151.4496362469181
13,50.55555555555556,1.9,155.1021690391056
14,50.55555555555556,1.9,160.21571494816814
15,50.55555555555556,1.9,163.8682477403556
16,50.55555555555556,1.9,167.52078053254314
17,50.55555555555556,1.9,169.71230020785566
18,50.55555555555556,1.9,174.09533955848067
19,50.55555555555556,1.9,177.7478723506682
20,50.55555555555556,1.9,179.9393920259807
21,50.55555555555556,1.9,182.1309117012932
22,50.55555555555556,1.9,185.78344449348072
23,50.55555555555556,1.9,188.7054707272307
24,50.55555555555556,1.9,192.35800351941825
25,50.55555555555556,1.9,194.54952319473074
26,50.55555555555556,1.9,197.47154942848076
27,50.55555555555556,1.9,199.66306910379322
28,50.55555555555556,1.9,203.31560189598076
29,50.55555555555556,1.9,206.23762812973078
30,50.55555555555556,1.9,208.42914780504327
31,50.55555555555556,1.9,210.6206674803558
32,50.55555555555556,1.9,213.5426937141058
33,50.55555555555556,1.9,214.2732002725433
34,50.55555555555556,1.9,217.9257330647308
35,50.55555555555556,1.9,220.8477592984808
36,50.55555555555556,1.9,223.03927897379333
37,50.55555555555556,1.9,224.50029209066832
38,50.55555555555556,1.9,226.69181176598082
39,50.55555555555556,1.9,229.61383799973086
40,50.55555555555556,1.9,233.26637079191835
3,51.111111111111114,1.9,101.04468371473043
4,51.111111111111114,1.9,101.04468371473043
5,51.111111111111114,1.9,109.08025585754295
6,51.111111111111114,1.9,117.84633455879299
7,51.111111111111114,1.9,127.34291981848052
8,51.111111111111114,1.9,133.91747884441804
9,51.111111111111114,1.9,139.76153131191802
10,51.111111111111114,1.9,144.14457066254306
11,51.111111111111114,1.9,148.5276100131681
12,51.111111111111114,1.9,153.6411559222306
13,51.111111111111114,1.9,157.29368871441815
14,51.111111111111114,1.9,162.40723462348063
15,51.111111111111114,1.9,166.05976741566815
16,51.111111111111114,1.9,169.71230020785566
17,51.111111111111114,1.9,171.90381988316813
18,51.111111111111114,1.9,175.55635267535567
19,51.111111111111114,1.9,179.20888546754318
20,51.111111111111114,1.9,182.1309117012932
21,51.111111111111114,1.9,185.78344449348072
22,51.111111111111114,1.9,187.97496416879324
23,51.111111111111114,1.9,191.6274969609807
24,51.111111111111114,1.9,194.54952319473074
25,51.111111111111114,1.9,198.20205598691825
26,51.111111111111114,1.9,200.39357566223077
27,51.111111111111114,1.9,202.58509533754327
28,51.111111111111114,1.9,205.50712157129328
29,51.111111111111114,1.9,207.69864124660575
30,51.111111111111114,1.9,211.3511740387933
31,51.111111111111114,1.9,212.81218715566828
32,51.111111111111114,1.9,215.0037068309808
33,51.111111111111114,1.9,217.9257330647308
34,51.111111111111114,1.9,220.1172527400433
35,51.111111111111114,1.9,223.03927897379333
36,51.111111111111114,1.9,225.23079864910582
37,51.111111111111114,1.9,228.15282488285584
38,51.111111111111114,1.9,230.34434455816836
39,51.111111111111114,1.9,232.53586423348082
40,51.111111111111114,1.9,236.18839702566837
3,51.666666666666664,1.9,101.77519027316794
4,51.666666666666664,1.9,103.23620339004295
5,51.666666666666664,1.9,112.00228209129298
6,51.666666666666664,1.9,119.307347675668
7,51.666666666666664,1.9,129.53443949379303
8,51.666666666666664,1.9,135.37849196129304
9,51.666666666666664,1.9,141.22254442879304
10,51.666666666666664,1.9,145.60558377941808
11,51.666666666666664,1.9,150.7191296884806
12,51.666666666666664,1.9,155.83267559754307
13,51.666666666666664,1.9,159.48520838973062
14,51.666666666666664,1.9,164.59875429879312
15,51.666666666666664,1.9,168.25128709098067
16,51.666666666666664,1.9,171.90381988316813
17,51.666666666666664,1.9,174.82584611691814
18,51.666666666666664,1.9,178.4783789091057
19,51.666666666666664,1.9,182.1309117012932
20,51.666666666666664,1.9,184.32243137660572
21,51.666666666666664,1.9,187.97496416879324
22,51.666666666666664,1.9,191.6274969609807
23,51.666666666666664,1.9,194.54952319473074
24,51.666666666666664,1.9,196.74104287004323
25,51.666666666666664,1.9,200.39357566223077
26,51.666666666666664,1.9,202.58509533754327
27,51.666666666666664,1.9,205.50712157129328
28,51.666666666666664,1.9,209.15965436348077
29,51.666666666666664,1.9,211.3511740387933
30,51.666666666666664,1.9,214.2732002725433
31,51.666666666666664,1.9,216.4647199478558
32,51.666666666666664,1.9,218.6562396231683
33,51.666666666666664,1.9,221.57826585691834
34,51.666666666666664,1.9,223.7697855322308
35,51.666666666666664,1.9,225.96130520754335
36,51.666666666666664,1.9,228.88333144129334
37,51.666666666666664,1.9,231.07485111660586
38,51.666666666666664,1.9,233.26637079191835
39,51.666666666666664,1.9,234.72738390879334
40,51.666666666666664,1.9,238.37991670098089
3,52.22222222222222,1.9,103.23620339004295
4,52.22222222222222,1.9,103.96670994848046
5,52.22222222222222,1.9,112.73278864973048
6,52.22222222222222,1.9,120.768360792543
7,52.22222222222222,1.9,130.99545261066802
8,52.22222222222222,1.9,136.83950507816803
9,52.22222222222222,1.9,143.41406410410556
10,52.22222222222222,1.9,148.5276100131681
11,52.22222222222222,1.9,152.9106493637931
12,52.22222222222222,1.9,158.02419527285562
13,52.22222222222222,1.9,161.67672806504314
14,52.22222222222222,1.9,166.79027397410562
15,52.22222222222222,1.9,170.44280676629316
16,52.22222222222222,1.9,174.09533955848067
17,52.22222222222222,1.9,177.7478723506682
